* RCK derivative values
* time_minute  dRCK_dt
51.583333  0.02920717
51.600000  0.02923034
51.616667  0.02925334
51.633333  0.02927620
51.650000  0.02929889
51.666667  0.02932144
51.683333  0.02934382
51.700000  0.02936605
51.716667  0.02938813
51.733333  0.02941005
51.750000  0.02943181
51.766667  0.02945342
51.783333  0.02947487
51.800000  0.02949616
51.816667  0.02951731
51.833333  0.02953829
51.850000  0.02955912
51.866667  0.02957979
51.883333  0.02960031
51.900000  0.02962067
51.916667  0.02964088
51.933333  0.02966093
51.950000  0.02968083
51.966667  0.02970057
51.983333  0.02972015
52.000000  0.02973958
52.016667  0.02975885
52.033333  0.02977797
52.050000  0.02979693
52.066667  0.02981573
52.083333  0.02983438
52.100000  0.02985288
52.116667  0.02987122
52.133333  0.02988940
52.150000  0.02990743
52.166667  0.02992530
52.183333  0.02994302
52.200000  0.02996058
52.216667  0.02997798
52.233333  0.02999523
52.250000  0.03001232
52.266667  0.03002926
52.283333  0.03004604
52.300000  0.03006267
52.316667  0.03007914
52.333333  0.03009546
52.350000  0.03011161
52.366667  0.03012762
52.383333  0.03014347
52.400000  0.03015916
52.416667  0.03017470
52.433333  0.03019008
52.450000  0.03020530
52.466667  0.03022037
52.483333  0.03023529
52.500000  0.03025004
52.516667  0.03026465
52.533333  0.03027909
52.550000  0.03029339
52.566667  0.03030752
52.583333  0.03032150
52.600000  0.03033533
52.616667  0.03034899
52.633333  0.03036251
52.650000  0.03037587
52.666667  0.03038907
52.683333  0.03040211
52.700000  0.03041500
52.716667  0.03042774
52.733333  0.03044032
52.750000  0.03045274
52.766667  0.03046501
52.783333  0.03047712
52.800000  0.03048908
52.816667  0.03050088
52.833333  0.03051252
52.850000  0.03052401
52.866667  0.03053535
52.883333  0.03054653
52.900000  0.03055755
52.916667  0.03056842
52.933333  0.03057913
52.950000  0.03058968
52.966667  0.03060008
52.983333  0.03061033
53.000000  0.03062041
53.016667  0.03063035
53.033333  0.03064012
53.050000  0.03064975
53.066667  0.03065921
53.083333  0.03066852
53.100000  0.03067768
53.116667  0.03068668
53.133333  0.03069552
53.150000  0.03070421
53.166667  0.03071274
53.183333  0.03072112
53.200000  0.03072934
53.216667  0.03073740
53.233333  0.03074531
53.250000  0.03075306
